spb_raw_specintro,spb_doctors_count,auto_ssot,auto_ssot_slugs,confidence,manual_merge,examples,corpus_sample
"Врач — травматолог-ортопед, врач ультразвуковой диагностики.",1,узи-специалист; ортопед,узи-специалист; ортопед,medium,узи-специалист; ортопед,Громов Иван Анатольевич,"Врач — травматолог-ортопед, врач ультразвуковой диагностики. | Заболевания и травмы суставов и позвоночника, лечение патологий стопы, регенеративная и малоинвазивная хирургия. | Травматолог-ортопед, врач спортивной медицины, узист Громов Иван Анатольевич | Клиника «Источник», Санкт-Петербург"
"Врач-эндокринолог высшей категории, терапевт, гастроэнтеролог. Кандидат медицинских наук.",1,гастроэнтеролог; эндокринолог; терапевт,гастроэнтеролог; эндокринолог; терапевт,needs_review,,Чередникова Марина Анатольевна,"эндокринолог высшей категории, терапевт, гастроэнтеролог | Врач-эндокринолог высшей категории, терапевт, гастроэнтеролог. Кандидат медицинских наук. | Диагностика и лечение сахарного диабета и патологий щитовидной железы, гипоталамо-гипофизарной системы, надпочечников, эндокринных нарушений половой "
"Врач-эндокринолог, диетолог",1,эндокринолог; диетолог,эндокринолог; диетолог,medium,эндокринолог; диетолог,Тачовали Тауфик Мохамедович,"эндокринолог | Врач-эндокринолог, диетолог | Диагностика и лечение эндокринных патологий. Диетология и разработка индивидуальных программ питания и коррекции веса. | Тачовали Тауфик Мохамедович эндокринолог клиники «Источник»"
"Врач-гастроэнтеролог высшей квалификационной категории, терапевт, диетолог.",1,гастроэнтеролог; диетолог; терапевт,гастроэнтеролог; диетолог; терапевт,needs_review,,Кузнецова Анна Владимировна,"Врач-гастроэнтеролог высшей квалификационной категории, терапевт, диетолог. | Лечебно-профилактическая работа в гастроэнтерологической, диетологической и общетерапевтической сферах. | Кузнецова Анна Владимировна гастроэнтеролог, терапевт, диетолог клинки «Источник»"
Терапевт,1,гемостазиолог; терапевт,гемостазиолог; терапевт,medium,гемостазиолог; терапевт,Бронникова Александра Александровна,", врач терапевт | Врач-терапевт, гемостазиолог | Терапевт | Первичный осмотр пациентов и постановка предварительного диагноза. Назначение необходимых лабораторных исследований, инструментальных методов обследования, направления к профильным специалистам, подготовка к эндоскопическим обследованиям. Д"
Врач-эндоскопист высшей квалификационной категории.,1,эндоскопист,эндоскопист,high,эндоскопист,Падерин Валерий Борисович,эндоскопист | Врач-эндоскопист высшей квалификационной категории. | Проведение эндоскопических исследований. | Падерин Валерий Борисович эндоскопист клиники «Источник»
Врач-невролог. Кандидат медицинских наук.,1,невролог,невролог,high,невролог,Потасеева Ольга Альбертовна,"невролог | Врач-невролог. Кандидат медицинских наук. | Лечение и диагностика заболеваний периферической нервной системы (нейропатии, плексопатии, полинейропатии). Комплексное обследование и лечение пациентов с сосудистыми заболеваниями головного мозга. | Потасеева Ольга Альбертовна невролог клиники "
Врач функциональной диагностики высшей квалификационной категории.,1,врач функциональной диагностики,врач-функциональной-диагностики,high,врач функциональной диагностики,Младенцева Татьяна Эдуардовна,врач функциональной диагностики | Врач функциональной диагностики высшей квалификационной категории. | Функциональная диагностика | Младенцева Татьяна Эдуардовна врач функциональной диагностики клиники «Источник»
"Врач-онколог, маммолог, врач ультразвуковой диагностики.",1,узи-специалист; маммолог; онколог,узи-специалист; маммолог; онколог,needs_review,,Важенина Инна Игоревна,"онколог, маммолог | Врач-онколог, маммолог, врач ультразвуковой диагностики. | Онкология (маммология). Ультразвуковая диагностика, диагностика и лечение доброкачественных и онкологических заболеваний молочной железы. | Важенина Инна Игоревна онколог, маммолог клиники «Источник»"
Онколог,1,онколог,онколог,high,онколог,Райгородский Максим Владимирович,Онколог | Онкология | Врач-онколог
Врач-колопроктолог высшей квалификационной категории.,1,колопроктолог (проктолог),колопроктолог,medium,колопроктолог (проктолог),Бейг Тарик Махмудович,Врач-колопроктолог высшей квалификационной категории. | Лечения колопроктологических заболеваний. Удаление доброкачественных новообразований кожи.
Врач-пульмонолог высшей квалификационной категории.,1,пульмонолог,пульмонолог,high,пульмонолог,Безужкевич Валентин Витальевич,пульмонолог | Врач-пульмонолог высшей квалификационной категории. | Диагностика и лечение заболеваний органов дыхания. | Безужкевич Валентин Витальевич пульмонолог клиники «Источник»
"Врач-нефролог, анестезиолог-реаниматолог, врач высшей квалификационной категории. Кандидат медицинских наук.",1,анестезиолог-реаниматолог; кардиолог; нефролог; терапевт,анестезиолог-реаниматолог; кардиолог; нефролог; терапевт,needs_review,,Акименко Татьяна Игоревна,"нефролог | Врач-нефролог, анестезиолог-реаниматолог, врач высшей квалификационной категории. Кандидат медицинских наук. | Диагностика и лечение поражения почек, анестезиологическое обеспечение операций, интенсивная терапия хронических и острых заболеваний терапевтического, нефрологического и кардиол"
Врач-дерматовенеролог высшей квалификационной категории,1,дерматовенеролог,дерматовенеролог,high,дерматовенеролог,Клюева Татьяна Анатольевна,"дерматовенеролог | Врач-дерматовенеролог высшей квалификационной категории | Лечение острых и хронических заболеваний кожи, волос, ногтей. Удаление доброкачественных новообразований кожи. Лечение заболеваний передающихся половым путем. | Клюева Татьяна Анатольевна дерматовенеролог клиники «Источник»"
Врач-дерматовенеролог. Врач-педиатр,1,дерматовенеролог; педиатр,дерматовенеролог; педиатр,medium,дерматовенеролог; педиатр,Антонова Светлана Борисовна,", врач-дерматовенеролог | Врач-дерматовенеролог. Врач-педиатр | Лечение острых и хронических заболеваний кожи, волос, ногтей у взрослых и детей. Удаление доброкачественных новообразований кожи. Лечение грибковых заболеваний кожи. Лечение акне. Лечение атопических дерматитов. Приемы педиатра. | Антон"
"Врач – терапевт, пульмонолог.",1,пульмонолог; терапевт,пульмонолог; терапевт,medium,пульмонолог; терапевт,Мальцева Ольга Александровна,"Врач – терапевт, пульмонолог. | Диагностика и лечение широкого спектра заболеваний внутренних органов: болезни сердца, легких, желудочно-кишечного тракта, почек, печени, опорно-двигательной системы, а также лечение инфекционных заболеваний, в том числе гриппа, ОРВИ, бронхита и других. | Мальцева Оль"
Врач — анестезиолог-реаниматолог.,1,анестезиолог-реаниматолог,анестезиолог-реаниматолог,high,анестезиолог-реаниматолог,Иванов Максим Витальевич,"Врач — анестезиолог-реаниматолог. | Организация и проведение анестезиологического обеспечения оперативных вмешательств. Оказание специализированной реаниматологической помощи. | Анестезиолог-реаниматолог | Иванов Максим Витальевич | Клиника «Источник», Санкт-Петербург"
"Эмбриолог, кандидат биологических наук",1,эмбриолог,эмбриолог,high,эмбриолог,Решетников Игорь Владимирович,"эмбриолог | Эмбриолог, кандидат биологических наук | Клиническая эмбриология в программах подготовки к ЭКО и программах вспомогательных репродуктивных технология ВРТ | Решетников Игорь Владимирович эмбриолог клиники «Источник»"
Эмбриолог,1,эмбриолог,эмбриолог,high,эмбриолог,Глущенко Анна Сергеевна,"Эмбриолог | Репродуктивная эмбриология. | Эмбриолог | Глущенко Анна Сергеевна | Клиника «Источник», Санкт-Петербург"
"Эмбриолог, врач КЛД эмбриологической лаборатории отделения ВРТ",1,эмбриолог,эмбриолог,high,эмбриолог,Деденева Елена Викторовна,"Эмбриолог, врач КЛД эмбриологической лаборатории отделения ВРТ | Эмбриология, клиническая лабораторная диагностика, цитология | Эмбриолог, врач КДЛ эмбриологической лаборатории отделения ВРТ, член РАРЧ, член ФЛМ (Федерация лабораторной медицины)"
Врач-ревматолог,1,ревматолог,ревматолог,high,ревматолог,Кацельник Екатерина Юрьевна,"ревматолог | Врач-ревматолог | Диагностика и лечение ревматологической патологии в амбулаторных условиях. | Кацельник Екатерина Юрьевна ревматолог клиники ""Источник"" Санкт-Петербург"
Кардиолог. Врач функциональной диагностики,1,врач функциональной диагностики; кардиолог,врач-функциональной-диагностики; кардиолог,medium,врач функциональной диагностики; кардиолог,Скуридин Даниил Сергеевич,"Врач-кардиолог, врач функциональной диагностики | Кардиолог. Врач функциональной диагностики | Кардиология. Функциональная диагностика | Врач-кардиолог, врач функциональной диагностики клиники ""Источник"""
Врач-остеопат,1,остеопат,остеопат,high,остеопат,Эккерт Дмитрий Александрович,"Врач-остеопат | Остеопатия | Эккерт Дмитрий Александрович, врач-остеопат"
"Врач аллерголог-иммунолог, врач аллерголог, врач иммунолог",1,аллерголог-иммунолог,аллерголог-иммунолог,high,аллерголог-иммунолог,Кузнецова Раиса Николаевна,"Врач аллерголог-иммунолог, врач аллерголог, врач иммунолог | Аллергология, иммунология, лечение иммунодефицитов | Врач аллерголог-иммунолог в клинике ""Источник"""
